Symbol,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
duk,2016/3/24,79.54,80.11,79.33,79.76,2296993,1,0,0
dv,2016/3/24,18.07,18.3,17.81,18.24,248509,1,0,0
dva,2016/3/24,71.71,72.01,71.06,71.55,404770,1,0,0
dvn,2016/3/24,24.92,26.63,24.6,26.46,11117323,1,0,0
dyn,2016/3/24,13.22,13.72,12.75,13.71,2087611,1,0,0
ea,2016/3/24,64.6,65.74,64.07,64.24,2925129,1,0,0
ebay,2016/3/24,24.12,24.365,24,24.33,12014177,1,0,0
ecl,2016/3/24,109.27,110.6,109.06,110.53,893077,1,0,0
ed,2016/3/24,75.31,75.92,75.06,75.56,1030365,1,0,0
efx,2016/3/24,110.73,111.25,109.09,111.23,874745,1,0,0
eix,2016/3/24,71.75,71.93,70.82,71.34,1904377,1,0,0
el,2016/3/24,93.19,93.48,92.66,93.28,527501,1,0,0
emc,2016/3/24,26.37,26.59,26.37,26.47,5725058,1,0,0
emn,2016/3/24,69.86,72.86,69.86,72.83,860968,1,0,0
emr,2016/3/24,54.17,54.46,53.84,54.41,3053467,1,0,0
endp,2016/3/24,29.58,30.2299,29,29.64,3672891,1,0,0
eog,2016/3/24,72.42,74.91,72.3,74.31,3180421,1,0,0
eqix,2016/3/24,317.96,323.041,317.46,320.75,508742,1,0,0
eqr,2016/3/24,72.19,72.55,71.77,72.49,1419047,1,0,0
eqt,2016/3/24,61.89,65.06,61.45,64.57,1310466,1,0,0
es,2016/3/24,57.74,58.3,57.64,57.83,908604,1,0,0
esrx,2016/3/24,66.91,67.61,66.23,67.38,4664359,1,0,0
ess,2016/3/24,227.74,228.08,224.74,226.24,261516,1,0,0
esv,2016/3/24,10.17,10.7861,10.05,10.59,4972118,1,0,0
etfc,2016/3/24,24.5,24.77,24.27,24.67,2598616,1,0,0
etn,2016/3/24,61.93,62.4,61.3101,62.39,1940332,1,0,0
etr,2016/3/24,77.84,78.99,77.59,78.84,709929,1,0,0
ew,2016/3/24,85.23,87.64,85.13,87.36,1676817,1,0,0
exc,2016/3/24,34.72,35.36,34.35,35.32,5375852,1,0,0
expd,2016/3/24,48.3,48.77,48.0601,48.66,1018879,1,0,0
expe,2016/3/24,108.14,108.25,106.5,107.69,1543962,1,0,0
exr,2016/3/24,89.16,90.26,88.88,90.09,754097,1,0,0
f,2016/3/24,13.11,13.12,12.78,13.04,30121358,1,0,0
fast,2016/3/24,48.63,49.09,48.39,48.9,1816596,1,0,0
fb,2016/3/24,112.13,113.09,111.67,113.06,16281676,1,0,0
